train_loss,train_acc,val_loss,val_acc,val_top5_acc,val_precision_macro,val_recall_macro,val_f1_macro
3.753259051929821,0.295978215333054,1.9258263252114738,0.6373411534701857,0.9012707722385142,0.703893230231129,0.6486176786176785,0.6088087691960947
1.8788697422424718,0.6774193548387096,0.9790514391771393,0.8299120234604106,0.9657869012707723,0.835632275132275,0.8310531875531876,0.8130299729955923
1.2232195779674964,0.778173439463762,0.638662774075744,0.8699902248289345,0.9755620723362659,0.8769980574980575,0.8728733673733674,0.8585231650886516
0.9351563463163116,0.8173439463762044,0.5178134051585827,0.8807429130009775,0.9765395894428153,0.896607066680596,0.8809176934176935,0.8717964342018274
0.8052406340999787,0.82865521575199,0.4570666256771293,0.8866080156402737,0.9814271749755621,0.8918760683760684,0.880984311984312,0.869726101884203
0.6843801168752206,0.85609551738584,0.4311869723006777,0.9042033235581622,0.9804496578690127,0.913574296074296,0.9080645465645466,0.8980912266123012
0.6159694263462647,0.8630079597821533,0.4172443258680789,0.9022482893450635,0.9794721407624634,0.9064371739371739,0.9050542050542051,0.8934451198537481
0.5502070188272633,0.8762044407205698,0.4086805714889705,0.9012707722385142,0.9843597262952102,0.9035271710859945,0.8998946053946054,0.8923405225319144
0.5185034972731419,0.8791369920402179,0.40684526577548197,0.8934506353861192,0.9833822091886608,0.8967908572908573,0.8942820327820327,0.8825567146928953
0.4973111325444963,0.8847926267281107,0.39614882508797145,0.9002932551319648,0.978494623655914,0.9052104377104379,0.9016679616679615,0.8904866550868161
