train_loss,train_acc,val_loss,val_acc,val_top5_acc,val_precision_macro,val_recall_macro,val_f1_macro
5.028437928270485,0.016129032258064516,4.870520677967389,0.021505376344086023,0.08993157380254155,0.025326841831701166,0.022010822510822512,0.016314194036147863
4.692600363909974,0.06514453288646838,4.5921260156939105,0.06842619745845552,0.20332355816226785,0.07934821024671161,0.07198532948532947,0.05054300040006437
4.433171588304805,0.1313364055299539,4.328035577417935,0.1241446725317693,0.33822091886608013,0.14858034920784904,0.12633140933140932,0.09689521031863765
4.187629862714623,0.21009635525764558,4.0736560993996305,0.21114369501466276,0.447702834799609,0.21303283117390223,0.21139393939393938,0.16567421854689804
3.9670585604157464,0.28843736908253037,3.849688526472388,0.28152492668621704,0.5601173020527859,0.3416650048085333,0.2868321308321308,0.2410359704264577
3.763284621000989,0.3519061583577713,3.6623416904829815,0.3235581622678397,0.6217008797653959,0.37938195400318164,0.33955772005772006,0.2988282890102439
3.5599196086031752,0.4046920821114369,3.4970824501731177,0.39296187683284456,0.6578690127077224,0.4449237269264122,0.41165848965848956,0.36124520627907875
3.378415738083001,0.44909928780896524,3.307685528799003,0.4056695992179863,0.7086999022482894,0.503827061045371,0.42042135642135636,0.3845409219620539
3.198671636593407,0.4976958525345622,3.1545118742557796,0.4496578690127077,0.7341153470185728,0.5156228774235739,0.47310726310726303,0.4238936403583499
3.058763107596255,0.52744030163385,2.9995838677545215,0.49560117302052786,0.7644183773216031,0.5823356667412395,0.5003624338624338,0.46294233902629384
