mode,pretrained,test_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_val_f1_macro
head_only,True,2.9565279241414597,0.5043988269794721,0.5903657053482388,0.5212693232693232,0.4848501064172945,0.46294233902629384
layer4,True,0.41398567013726556,0.8973607038123167,0.9022064787064785,0.8990234672734672,0.8910910544788186,0.8980912266123012
layer3_layer4,True,0.2910448357331788,0.927663734115347,0.9388650978650979,0.9306021386021386,0.9251239874928752,0.9259578651016439
all,False,1.8360288210744848,0.5190615835777126,0.5461332790303379,0.5255647685647685,0.4829549352228749,0.4676612305172506
