train_loss,train_acc,val_loss,val_acc,val_top5_acc,val_precision_macro,val_recall_macro,val_f1_macro
3.5009158043168207,0.34708839547549225,1.3859416886159053,0.7321603128054741,0.9384164222873901,0.7572384160673634,0.7410266585266586,0.7014294105168903
1.508563138747445,0.7373271889400922,0.6577090510874549,0.8826979472140762,0.9824046920821115,0.8918483945248651,0.8833667813667813,0.8691083407346074
0.9582381668977773,0.8202764976958525,0.43971633357619494,0.8963831867057673,0.9882697947214076,0.9015672268907561,0.8930125060125059,0.8834964176508394
0.7452755382383623,0.8449937159614579,0.34119825340436,0.9198435972629521,0.989247311827957,0.9282140637140638,0.9214117364117365,0.9126512646281253
0.6482333718207175,0.8625890238793464,0.3411760770388945,0.916911045943304,0.9863147605083089,0.9251522366522367,0.9114941539941539,0.904512005995198
0.5674020479201871,0.8764139086719732,0.31319587612897887,0.9208211143695014,0.9853372434017595,0.9307560587560588,0.9217322492322493,0.9174366785973731
0.5011175674876759,0.886887306242145,0.29953699671860895,0.9257086999022482,0.9872922776148583,0.9239375809375809,0.9279222444222444,0.9184025296151825
0.4516727632691184,0.893171344784248,0.2763487012330388,0.9354838709677419,0.9902248289345064,0.9377904040404041,0.9326956931956931,0.9259578651016439
0.4519475767140015,0.8942186845412652,0.28102850088829634,0.927663734115347,0.9882697947214076,0.9333121878121877,0.9221454286454286,0.9176459111933468
0.4302613113120754,0.8967322999581064,0.3102018959157511,0.9237536656891495,0.9872922776148583,0.9324755522255522,0.921044252044252,0.9156777511383424
